image_path,label
training_data\2ceb3947-aligned_solid_101.png,IfcPlate
training_data\16059c0b-aligned_solid_102.png,IfcPlate
training_data\eab437c0-aligned_solid_103.png,IfcAngle
training_data\54145230-aligned_solid_104.png,IfcPlate
training_data\5d5513b3-aligned_solid_105.png,IfcBeam
training_data\a4f4feec-aligned_solid_106.png,IfcPlate
training_data\0cc6e3c2-aligned_solid_107.png,IfcPlate
training_data\e9231756-aligned_solid_108.png,IfcPlate
training_data\dd801e30-aligned_solid_109.png,IfcPlate
training_data\f82d3418-aligned_solid_110.png,IfcColumn
training_data\eb26815a-aligned_solid_111.png,IfcPlate
training_data\cb1ae5a9-aligned_solid_112.png,IfcPlate
training_data\3668dd1f-aligned_solid_113.png,IfcPlate
training_data\1e2c8b5c-aligned_solid_114.png,IfcPlate
training_data\3ee0904b-aligned_solid_115.png,IfcPlate
training_data\3a7551ef-aligned_solid_116.png,IfcBolt
training_data\aad32297-aligned_solid_117.png,IfcPlate
training_data\d5e0ad66-aligned_solid_118.png,IfcPlate
training_data\e92222e1-aligned_solid_119.png,IfcBeam
training_data\2b5a1015-aligned_solid_120.png,IfcPlate
training_data\7bcd97b6-aligned_solid_121.png,IfcPlate
training_data\b76a7863-aligned_solid_122.png,IfcWasher
training_data\cc35b376-aligned_solid_123.png,IfcPlate
training_data\d8544b1a-aligned_solid_124.png,IfcPlate
training_data\2daa96fb-aligned_solid_125.png,IfcPlate
training_data\2bba62b1-aligned_solid_126.png,IfcPlate
training_data\826b8e71-aligned_solid_127.png,IfcPlate
training_data\d28d1a6f-aligned_solid_128.png,IfcPlate
training_data\9b942690-aligned_solid_129.png,IfcPlate
training_data\757690e9-aligned_solid_130.png,IfcPlate
training_data\e3efc46e-aligned_solid_131.png,IfcPlate
training_data\e03f1cda-aligned_solid_132.png,IfcPlate
training_data\8fb336f0-aligned_solid_133.png,IfcNut
training_data\db5dbf33-aligned_solid_134.png,IfcAngle
training_data\fc7d27a9-aligned_solid_135.png,IfcPlate
training_data\caae7e3c-aligned_solid_136.png,IfcPlate
training_data\f0057ca3-aligned_solid_137.png,IfcPlate
training_data\9c900393-aligned_solid_138.png,IfcPlate
training_data\62852728-aligned_solid_139.png,IfcPlate
training_data\9357837b-aligned_solid_140.png,IfcPlate
training_data\53d6f878-aligned_solid_141.png,IfcPlate
training_data\dee23b6b-aligned_solid_142.png,IfcAngle
training_data\d51be270-aligned_solid_143.png,IfcAngle
training_data\a26d303a-aligned_solid_144.png,IfcPlate
training_data\139526b0-aligned_solid_145.png,IfcPlate
training_data\6a1c0734-aligned_solid_146.png,IfcPlate
training_data\5a837863-aligned_solid_147.png,IfcBolt
training_data\85c78339-aligned_solid_148.png,IfcColumn
training_data\d9977af4-aligned_solid_149.png,IfcPlate
training_data\d62cafd1-aligned_solid_150.png,IfcPlate
training_data\60de6740-aligned_solid_151.png,IfcPlate
training_data\73fc7fbf-aligned_solid_152.png,IfcWasher
training_data\26b77571-aligned_solid_153.png,IfcPlate
training_data\1951c664-aligned_solid_154.png,IfcPlate
training_data\896f9e77-aligned_solid_155.png,IfcPlate
training_data\4ca53735-aligned_solid_156.png,IfcPlate
training_data\0f41389b-aligned_solid_157.png,IfcAngle
training_data\c8910a98-aligned_solid_158.png,IfcPlate
training_data\e50ec194-aligned_solid_159.png,IfcWasher
training_data\1e8a1c84-aligned_solid_160.png,IfcPlate
training_data\8ea823e9-aligned_solid_161.png,IfcPlate
training_data\f3907b7f-aligned_solid_162.png,IfcAngle
training_data\47a9554e-aligned_solid_163.png,IfcPlate
training_data\bee56aff-aligned_solid_164.png,IfcPlate
training_data\230aa928-aligned_solid_165.png,IfcPlate
training_data\ebd34483-aligned_solid_166.png,IfcPlate
training_data\1e53cd3a-aligned_solid_167.png,IfcPlate
training_data\044d697a-aligned_solid_168.png,IfcPlate
training_data\10ab77c4-aligned_solid_169.png,IfcColumn
training_data\f6a53110-aligned_solid_170.png,IfcPlate
training_data\a0605903-aligned_solid_171.png,IfcBeam
training_data\2759640c-aligned_solid_172.png,IfcAngle
training_data\4ac7c5c8-aligned_solid_173.png,IfcColumn
training_data\0703bd03-aligned_solid_174.png,IfcAngle
training_data\f2c54e8a-aligned_solid_175.png,IfcAngle
training_data\4c025569-aligned_solid_176.png,IfcAngle
training_data\8907b5be-aligned_solid_177.png,IfcAngle
training_data\1b647aae-aligned_solid_178.png,IfcAngle
training_data\706abd39-aligned_solid_179.png,IfcColumn
training_data\a8c9c5aa-aligned_solid_180.png,IfcAngle
training_data\5559448c-aligned_solid_181.png,IfcColumn
training_data\909e0ffb-aligned_solid_182.png,IfcBeam
training_data\24e8a907-aligned_solid_183.png,IfcBeam
training_data\a70148bf-aligned_solid_184.png,IfcPlate
training_data\ad9b352e-aligned_solid_185.png,IfcPlate
training_data\68dda140-aligned_solid_186.png,IfcColumn
training_data\96227d48-aligned_solid_187.png,IfcBolt
training_data\554e69a7-aligned_solid_188.png,IfcBolt
training_data\837b5ca6-aligned_solid_189.png,IfcAngle
training_data\c90c0aa2-aligned_solid_190.png,IfcPlate
training_data\5430354b-aligned_solid_191.png,IfcWasher
training_data\33077646-aligned_solid_192.png,IfcPlate
training_data\4337a150-aligned_solid_193.png,IfcPlate
training_data\5771f2a9-aligned_solid_194.png,IfcPlate
training_data\5cd6f67a-aligned_solid_195.png,IfcAngle
training_data\47304c80-aligned_solid_196.png,IfcAngle
training_data\ac396b3a-aligned_solid_197.png,IfcPlate
training_data\b9b49b86-aligned_solid_198.png,IfcPlate
training_data\77df85c3-aligned_solid_299.png,IfcAngle
training_data\0ca65782-aligned_solid_200.png,IfcPlate
training_data\1cf01f50-aligned_solid_201.png,IfcPlate
training_data\6a1337f9-aligned_solid_202.png,IfcPlate
training_data\325f1943-aligned_solid_203.png,IfcPlate
training_data\58ab5d92-aligned_solid_204.png,IfcBolt
training_data\c18ff533-aligned_solid_205.png,IfcPlate
training_data\03cc6921-aligned_solid_206.png,IfcPlate
training_data\329b9eff-aligned_solid_207.png,IfcBolt
training_data\6e357fd8-aligned_solid_208.png,IfcPlate
training_data\e810ffe8-aligned_solid_209.png,IfcPlate
training_data\3d201fbd-aligned_solid_210.png,IfcPlate
training_data\781ab452-aligned_solid_211.png,IfcColumn
training_data\a5278a4b-aligned_solid_212.png,IfcPlate
training_data\6ed36e33-aligned_solid_213.png,IfcPlate
training_data\322add60-aligned_solid_214.png,IfcAngle
training_data\f08572a7-aligned_solid_215.png,IfcPlate
training_data\0baa089a-aligned_solid_216.png,IfcPlate
training_data\09373e4f-aligned_solid_217.png,IfcPlate
training_data\81d6907e-aligned_solid_218.png,IfcPlate
training_data\f4e5c48d-aligned_solid_219.png,IfcPlate
training_data\1cae5b8f-aligned_solid_220.png,IfcBolt
training_data\3073fc08-aligned_solid_221.png,IfcPlate
training_data\418fcd77-aligned_solid_222.png,IfcBolt
training_data\89c6e451-aligned_solid_223.png,IfcBolt
training_data\35deb70b-aligned_solid_224.png,IfcPlate
training_data\894bbad9-aligned_solid_225.png,IfcPlate
training_data\20b60bed-aligned_solid_226.png,IfcPlate
training_data\6f1b07f0-aligned_solid_227.png,IfcPlate
training_data\613cd8c2-aligned_solid_228.png,IfcPlate
training_data\c90bd41a-aligned_solid_229.png,IfcPlate
training_data\1828305a-aligned_solid_230.png,IfcAngle
training_data\2474c918-aligned_solid_231.png,IfcPlate
training_data\b18d75a1-aligned_solid_232.png,IfcPlate
training_data\96b92d29-aligned_solid_233.png,IfcAngle
training_data\fb333955-aligned_solid_234.png,IfcNut
training_data\77b4103e-aligned_solid_235.png,IfcAngle
training_data\eb5ce14d-aligned_solid_236.png,IfcPlate
training_data\6c4657e1-aligned_solid_237.png,IfcPlate
training_data\af1a7df2-aligned_solid_238.png,IfcColumn
training_data\69386a7b-aligned_solid_239.png,IfcAngle
training_data\19fe82a4-aligned_solid_240.png,IfcColumn
training_data\55c2f964-aligned_solid_241.png,IfcPlate
training_data\9c81378d-aligned_solid_242.png,IfcPlate
training_data\e3e40cba-aligned_solid_243.png,IfcBolt
training_data\50162878-aligned_solid_244.png,IfcAngle
training_data\471b0fa7-aligned_solid_245.png,IfcPlate
training_data\74afe909-aligned_solid_246.png,IfcAngle
training_data\500d990a-aligned_solid_247.png,IfcPlate
training_data\74505ea1-aligned_solid_248.png,IfcPlate
training_data\5cbe5383-aligned_solid_249.png,IfcPlate
training_data\7a9cd33d-aligned_solid_250.png,IfcPlate
training_data\26c05baa-aligned_solid_251.png,IfcPlate
training_data\0f493a73-aligned_solid_252.png,IfcPlate
training_data\683c476f-aligned_solid_253.png,IfcPlate
training_data\d1c23040-aligned_solid_254.png,IfcPlate
training_data\8943f773-aligned_solid_255.png,IfcColumn
training_data\b2660ac7-aligned_solid_256.png,IfcPlate
training_data\cf503c3d-aligned_solid_257.png,IfcPlate
training_data\a204318b-aligned_solid_258.png,IfcAngle
training_data\22e1b8f1-aligned_solid_259.png,IfcPlate
training_data\0675c439-aligned_solid_260.png,IfcPlate
training_data\76077dc0-aligned_solid_261.png,IfcPlate
training_data\8a96af82-aligned_solid_262.png,IfcWasher
training_data\dbc4b973-aligned_solid_263.png,IfcPlate
training_data\f192df15-aligned_solid_264.png,IfcAngle
training_data\517e5597-aligned_solid_265.png,IfcColumn
training_data\b48c1f7e-aligned_solid_266.png,IfcColumn
training_data\99d783fd-aligned_solid_267.png,IfcPlate
training_data\0ec904ce-aligned_solid_268.png,IfcPlate
training_data\aa9a3485-aligned_solid_269.png,IfcAngle
training_data\d94e9c06-aligned_solid_270.png,IfcPlate
training_data\45098d1c-aligned_solid_271.png,IfcPlate
training_data\90568984-aligned_solid_272.png,IfcPlate
training_data\4d8ead2e-aligned_solid_273.png,IfcPlate
training_data\3108a97e-aligned_solid_274.png,IfcPlate
training_data\8d99f1ad-aligned_solid_275.png,IfcPlate
training_data\ddd74ca7-aligned_solid_276.png,IfcColumn
training_data\b2747c9e-aligned_solid_277.png,IfcPlate
training_data\2553fc39-aligned_solid_278.png,IfcAngle
training_data\7996fb29-aligned_solid_279.png,IfcPlate
training_data\582b340c-aligned_solid_280.png,IfcPlate
training_data\c53229e1-aligned_solid_281.png,IfcPlate
training_data\421cd309-aligned_solid_282.png,IfcColumn
training_data\a7cf5e63-aligned_solid_283.png,IfcWasher
training_data\fc90f0b4-aligned_solid_284.png,IfcPlate
training_data\b77559be-aligned_solid_285.png,IfcBeam
training_data\afcd9805-aligned_solid_286.png,IfcPlate
training_data\d105db74-aligned_solid_287.png,IfcPlate
training_data\782342a2-aligned_solid_288.png,IfcNut
training_data\ca3d0ca0-aligned_solid_289.png,IfcAngle
training_data\fc9dcbe2-aligned_solid_290.png,IfcPlate
training_data\57e90939-aligned_solid_291.png,IfcBolt
training_data\5be319d4-aligned_solid_292.png,IfcAngle
training_data\37dfbad5-aligned_solid_293.png,IfcPlate
training_data\4f26892d-aligned_solid_294.png,IfcPlate
training_data\c1523741-aligned_solid_295.png,IfcColumn
training_data\afa806bc-aligned_solid_296.png,IfcColumn
training_data\a475f65c-aligned_solid_297.png,IfcPlate
training_data\e0cd91d2-aligned_solid_298.png,IfcColumn
training_data\effa1632-aligned_solid_500.png,IfcPlate
training_data\352773e3-aligned_solid_300.png,IfcAngle
training_data\4ed53250-aligned_solid_301.png,IfcAngle
training_data\c550fa05-aligned_solid_302.png,IfcBeam
training_data\4e7e6082-aligned_solid_303.png,IfcPlate
training_data\270356b7-aligned_solid_304.png,IfcPlate
training_data\0e2bc858-aligned_solid_305.png,IfcColumn
training_data\4f453269-aligned_solid_306.png,IfcPlate
training_data\ed04efb3-aligned_solid_307.png,IfcPlate
training_data\f33dbd02-aligned_solid_308.png,IfcPlate
training_data\959cf8fa-aligned_solid_309.png,IfcPlate
training_data\2fdb978f-aligned_solid_310.png,IfcColumn
training_data\166840a2-aligned_solid_311.png,IfcNut
training_data\a43ec6a1-aligned_solid_312.png,IfcColumn
training_data\d0d360a0-aligned_solid_313.png,IfcBolt
training_data\33d5185f-aligned_solid_314.png,IfcPlate
training_data\ea517a4e-aligned_solid_315.png,IfcPlate
training_data\4ae996c8-aligned_solid_316.png,IfcBolt
training_data\311ad2b1-aligned_solid_317.png,IfcPlate
training_data\48f6aeb3-aligned_solid_318.png,IfcAngle
training_data\1da42117-aligned_solid_319.png,IfcAngle
training_data\41c46f3c-aligned_solid_320.png,IfcPlate
training_data\2efe6edc-aligned_solid_321.png,IfcColumn
training_data\6d420eeb-aligned_solid_322.png,IfcBeam
training_data\3f19f849-aligned_solid_323.png,IfcWasher
training_data\fd1a854a-aligned_solid_324.png,IfcColumn
training_data\d8e843c0-aligned_solid_325.png,IfcNut
training_data\14d44fc7-aligned_solid_326.png,IfcPlate
training_data\34186346-aligned_solid_327.png,IfcBolt
training_data\bde1f516-aligned_solid_328.png,IfcPlate
training_data\859cb25a-aligned_solid_329.png,IfcPlate
training_data\eecadb95-aligned_solid_330.png,IfcPlate
training_data\874c04a8-aligned_solid_331.png,IfcPlate
training_data\6838658e-aligned_solid_332.png,IfcColumn
training_data\4097d006-aligned_solid_333.png,IfcColumn
training_data\f35c4e4c-aligned_solid_500.png,IfcPlate
training_data\a5229baf-aligned_solid_600.png,IfcPlate
training_data\db2009b0-aligned_solid_501.png,IfcPlate
training_data\555ab0f5-aligned_solid_502.png,IfcPlate
training_data\1278850c-aligned_solid_503.png,IfcPlate
training_data\947d3e2e-aligned_solid_504.png,IfcPlate
training_data\14bd3ffc-aligned_solid_505.png,IfcAngle
training_data\e1953f2f-aligned_solid_506.png,IfcBeam
training_data\0a8ddada-aligned_solid_507.png,IfcAngle
training_data\2ebf4c62-aligned_solid_508.png,IfcPlate
training_data\02b1693f-aligned_solid_509.png,IfcPlate
training_data\0a0e7ea0-aligned_solid_510.png,IfcColumn
training_data\3523574a-aligned_solid_511.png,IfcBeam
training_data\8dcc02a1-aligned_solid_512.png,IfcColumn
training_data\37cd2768-aligned_solid_513.png,IfcPlate
training_data\fa31b473-aligned_solid_514.png,IfcColumn
training_data\84e902c9-aligned_solid_515.png,IfcWasher
training_data\20b56f4e-aligned_solid_516.png,IfcPlate
training_data\cd15802b-aligned_solid_517.png,IfcPlate
training_data\76251fa5-aligned_solid_518.png,IfcPlate
training_data\67743372-aligned_solid_519.png,IfcBolt
training_data\a37584a0-aligned_solid_520.png,IfcPlate
training_data\7f4c1a12-aligned_solid_521.png,IfcPlate
training_data\f06fce92-aligned_solid_522.png,IfcColumn
training_data\2493cdd1-aligned_solid_523.png,IfcPlate
training_data\009268c9-aligned_solid_524.png,IfcPlate
training_data\79199aba-aligned_solid_525.png,IfcPlate
training_data\cc504d86-aligned_solid_526.png,IfcColumn
training_data\f6706d3a-aligned_solid_527.png,IfcPlate
training_data\8799c477-aligned_solid_528.png,IfcPlate
training_data\ca315ae6-aligned_solid_529.png,IfcBeam
training_data\4d4c75ed-aligned_solid_530.png,IfcPlate
training_data\2ed9703c-aligned_solid_531.png,IfcAngle
training_data\f7302853-aligned_solid_532.png,IfcPlate
training_data\8f8f4c99-aligned_solid_533.png,IfcPlate
training_data\eda8c19f-aligned_solid_534.png,IfcPlate
training_data\41c82bba-aligned_solid_535.png,IfcPlate
training_data\e6f7983f-aligned_solid_536.png,IfcBolt
training_data\42e99413-aligned_solid_537.png,IfcPlate
training_data\ba587237-aligned_solid_538.png,IfcBolt
training_data\a9a61282-aligned_solid_539.png,IfcPlate
training_data\15e84806-aligned_solid_540.png,IfcWasher
training_data\8637b38f-aligned_solid_541.png,IfcNut
training_data\60a73822-aligned_solid_542.png,IfcPlate
training_data\1ae2b39d-aligned_solid_543.png,IfcPlate
training_data\340b619d-aligned_solid_544.png,IfcBolt
training_data\c908fbfb-aligned_solid_545.png,IfcBeam
training_data\05a52691-aligned_solid_546.png,IfcPlate
training_data\b7b0f5e8-aligned_solid_547.png,IfcPlate
training_data\188b436c-aligned_solid_548.png,IfcColumn
training_data\27e65135-aligned_solid_549.png,IfcPlate
training_data\4d3985b6-aligned_solid_550.png,IfcWasher
training_data\0665f15e-aligned_solid_551.png,IfcPlate
training_data\39233c59-aligned_solid_552.png,IfcAngle
training_data\06e48b2f-aligned_solid_553.png,IfcPlate
training_data\24a3a95f-aligned_solid_554.png,IfcPlate
training_data\c341253c-aligned_solid_555.png,IfcPlate
training_data\7946add1-aligned_solid_556.png,IfcAngle
training_data\c76c4f57-aligned_solid_557.png,IfcPlate
training_data\11a57472-aligned_solid_558.png,IfcPlate
training_data\44a496e2-aligned_solid_559.png,IfcPlate
training_data\4b2c5f78-aligned_solid_560.png,IfcPlate
training_data\abd7cc72-aligned_solid_561.png,IfcNut
training_data\89678586-aligned_solid_562.png,IfcBolt
training_data\240805cc-aligned_solid_563.png,IfcColumn
training_data\c6627ac1-aligned_solid_564.png,IfcColumn
training_data\88cd5b47-aligned_solid_565.png,IfcAngle
training_data\2d4e1ade-aligned_solid_566.png,IfcAngle
training_data\d6ba1ddd-aligned_solid_567.png,IfcPlate
training_data\d8ad0b58-aligned_solid_568.png,IfcNut
training_data\0213e4c4-aligned_solid_569.png,IfcPlate
training_data\9d28323f-aligned_solid_570.png,IfcPlate
training_data\3369b8e9-aligned_solid_571.png,IfcNut
training_data\f87dc65c-aligned_solid_572.png,IfcPlate
training_data\48620a81-aligned_solid_573.png,IfcNut
training_data\ecbdf33e-aligned_solid_574.png,IfcPlate
training_data\0d50b802-aligned_solid_575.png,IfcPlate
training_data\4dbf9a37-aligned_solid_576.png,IfcPlate
training_data\adabb4f0-aligned_solid_577.png,IfcPlate
training_data\11f14641-aligned_solid_578.png,IfcAngle
training_data\7feb2e85-aligned_solid_579.png,IfcPlate
training_data\19bd3b8e-aligned_solid_580.png,IfcPlate
training_data\2e16fc8c-aligned_solid_581.png,IfcPlate
training_data\146176d8-aligned_solid_582.png,IfcPlate
training_data\f72e2523-aligned_solid_583.png,IfcBolt
training_data\7943cbde-aligned_solid_584.png,IfcPlate
training_data\644717f1-aligned_solid_585.png,IfcPlate
training_data\bec99e4d-aligned_solid_586.png,IfcPlate
training_data\34bd59c7-aligned_solid_587.png,IfcAngle
training_data\5202021c-aligned_solid_588.png,IfcNut
training_data\4b455422-aligned_solid_589.png,IfcNut
training_data\eb8d064c-aligned_solid_590.png,IfcAngle
training_data\48a213a7-aligned_solid_591.png,IfcPlate
training_data\14a1cd22-aligned_solid_592.png,IfcAngle
training_data\58b449e4-aligned_solid_593.png,IfcPlate
training_data\a4057104-aligned_solid_594.png,IfcPlate
training_data\76957607-aligned_solid_595.png,IfcPlate
training_data\3f89c0ee-aligned_solid_596.png,IfcAngle
training_data\2e05d5c8-aligned_solid_597.png,IfcBeam
training_data\6b5a90d3-aligned_solid_598.png,IfcPlate
training_data\592117e0-aligned_solid_599.png,IfcNut
training_data\fd834b73-aligned_solid_699.png,IfcBeam
training_data\9d09846e-aligned_solid_600.png,IfcPlate
training_data\8d26d2b7-aligned_solid_601.png,IfcPlate
training_data\b9134808-aligned_solid_602.png,IfcPlate
training_data\94795896-aligned_solid_603.png,IfcAngle
training_data\abeb42a9-aligned_solid_604.png,IfcPlate
training_data\37a77bcc-aligned_solid_605.png,IfcColumn
training_data\ff82c768-aligned_solid_606.png,IfcPlate
training_data\1ae78ca2-aligned_solid_607.png,IfcPlate
training_data\49bb1099-aligned_solid_608.png,IfcPlate
training_data\c8ee8259-aligned_solid_609.png,IfcPlate
training_data\c261a24c-aligned_solid_610.png,IfcColumn
training_data\4c9252ba-aligned_solid_611.png,IfcPlate
training_data\24d3cf3b-aligned_solid_612.png,IfcPlate
training_data\b0be300f-aligned_solid_613.png,IfcPlate
training_data\f6ebf772-aligned_solid_614.png,IfcPlate
training_data\409eb827-aligned_solid_615.png,IfcPlate
training_data\150f7c80-aligned_solid_616.png,IfcBolt
training_data\e2202eb1-aligned_solid_617.png,IfcPlate
training_data\3579172e-aligned_solid_618.png,IfcPlate
training_data\95b96989-aligned_solid_619.png,IfcColumn
training_data\fd9d36ba-aligned_solid_620.png,IfcPlate
training_data\a2324646-aligned_solid_621.png,IfcPlate
training_data\e9d9a6a8-aligned_solid_622.png,IfcWasher
training_data\ac58007e-aligned_solid_623.png,IfcPlate
training_data\8b7a80c6-aligned_solid_624.png,IfcPlate
training_data\48be45b5-aligned_solid_625.png,IfcPlate
training_data\2e61b794-aligned_solid_626.png,IfcPlate
training_data\990e2940-aligned_solid_627.png,IfcPlate
training_data\34103ee2-aligned_solid_628.png,IfcPlate
training_data\362f32d8-aligned_solid_629.png,IfcPlate
training_data\8911b901-aligned_solid_630.png,IfcPlate
training_data\c3168947-aligned_solid_631.png,IfcPlate
training_data\35dc965b-aligned_solid_632.png,IfcPlate
training_data\2c1ca5dd-aligned_solid_633.png,IfcBolt
training_data\4426ff6d-aligned_solid_634.png,IfcAngle
training_data\a8aa01e5-aligned_solid_635.png,IfcPlate
training_data\bb3d084e-aligned_solid_636.png,IfcPlate
training_data\f5bc42f5-aligned_solid_637.png,IfcPlate
training_data\670df59e-aligned_solid_638.png,IfcPlate
training_data\08a85c80-aligned_solid_639.png,IfcPlate
training_data\f14ee6fc-aligned_solid_640.png,IfcPlate
training_data\aa1cb069-aligned_solid_641.png,IfcPlate
training_data\7aa30d72-aligned_solid_642.png,IfcAngle
training_data\d91b7d26-aligned_solid_643.png,IfcAngle
training_data\9611b947-aligned_solid_644.png,IfcPlate
training_data\885a7ea5-aligned_solid_645.png,IfcPlate
training_data\65a05cad-aligned_solid_646.png,IfcPlate
training_data\32d3153a-aligned_solid_647.png,IfcBolt
training_data\dc95e028-aligned_solid_648.png,IfcColumn
training_data\e3283d52-aligned_solid_649.png,IfcPlate
training_data\fe2c6c77-aligned_solid_650.png,IfcPlate
training_data\e19f101c-aligned_solid_651.png,IfcPlate
training_data\78bc76f2-aligned_solid_652.png,IfcWasher
training_data\0ec839f5-aligned_solid_653.png,IfcPlate
training_data\1e439a96-aligned_solid_654.png,IfcPlate
training_data\31268129-aligned_solid_655.png,IfcPlate
